studynum,study_id,bm_GN_RS,Author_Year,PointQual_Represent012,PointQual_Selection012,PointQual_Exposure012,PointQual_OutcDef012,PointQual_FUPduration012,PointQual_FUPlost012,PointQual_TOTALcov012,PointQual_TOTALtrad012,PointQual_TotalScore012,total_cov,total_trad,BiasRiskTotal,PointQual_Represent,PointQual_Selection,PointQual_Exposure,PointQual_OutcDef,PointQual_FUPduration,PointQual_FUPlost,PointQual_TOTALcov,PointQual_TOTALtrad,PointQual_TotalScore
14996,#14996,BM,Aboyans 2011,hig,med,hig,low,hig,low,med,med,Low,8,5,High,3,2,2,1,1,0,2,2,13
14992,#14992,BM,Abu-Lebdeh 2001,hig,med,hig,hig,hig,hig,low,low,Low,4,2,High,3,2,2,3,1,3,1,0,15
14312,#14312,BM,Afarideh 2016,hig,med,hig,hig,hig,hig,hig,med,High,11,7,Low,3,2,2,3,1,3,3,4,21
14309,#14309,BM,Afsharian 2016,hig,med,hig,hig,hig,med,med,med,Low,6,4,High,3,2,2,3,1,1,2,2,16
14240,#14240,BM,Alele 2013,low,med,hig,hig,hig,low,low,low,Low,4,3,High,1,2,2,3,1,0,1,0,10
14181,#14181,BM,Anand 2006,hig,med,hig,hig,hig,hig,med,med,High,7,6,Low,3,2,2,3,3,3,2,2,20
14183,#14183,BM,Anand 2006a,hig,med,hig,hig,hig,hig,med,med,High,6,6,Low,3,2,2,3,3,3,2,2,20
14163,#14163,BM,Angiolillo 2007,med,med,hig,hig,hig,hig,low,low,Low,1,1,High,2,2,2,3,3,3,1,0,16
14145,#14145,BM,Araki 2013,hig,med,hig,hig,hig,low,hig,hig,High,14,13,Low,3,2,2,3,1,0,4,6,21
14764,#14764,BM,Azab 2013,hig,med,hig,hig,hig,hig,med,hig,High,9,9,Low,3,2,2,3,1,3,3,4,21
14757,#14757,BM,Azevedo 2006,hig,med,hig,hig,hig,med,med,med,Med,6,5,Med.,3,2,2,3,1,2,2,2,17
14739,#14739,BM,Backhaus 2020,hig,med,hig,hig,hig,med,low,low,Low,4,2,High,3,2,2,3,1,2,1,0,14
14669,#14669,BM,Bates 2016,hig,med,hig,hig,hig,hig,low,med,Med,4,4,Med.,3,2,2,3,1,3,1,2,17
14634,#14634,BM,Bell 2018,hig,med,hig,hig,hig,low,med,med,Med,9,8,Med.,3,2,2,3,1,0,3,4,18
14603,#14603,BM,Bernard 2005,hig,med,hig,hig,hig,hig,low,low,Low,4,3,High,3,2,2,3,1,3,1,0,15
14576,#14576,BM,Bianco 2014,med,med,hig,hig,hig,med,low,low,Low,2,2,High,2,2,2,3,1,1,1,0,12
14566,#14566,BM,Biscetti 2020,hig,med,hig,low,hig,hig,hig,hig,High,12,10,Low,3,2,2,0,1,3,3,6,20
14514,#14514,BM,Bonito 2019,low,med,hig,hig,hig,hig,hig,med,Med,11,6,Med.,1,2,2,3,1,3,3,2,17
3524,#3524,BM,Bouchi 2012,med,med,hig,hig,hig,med,hig,hig,High,21,18,Low,2,2,2,3,1,2,4,6,22
14440,#14440,BM,Bruce 2005,hig,med,hig,hig,hig,med,hig,hig,Med,12,9,Med.,3,2,2,3,1,1,3,4,19
14437,#14437,BM,Bruno 2005,hig,med,hig,hig,hig,hig,med,med,High,8,7,Low,3,2,2,3,1,3,2,4,20
14438,#14438,BM,Bruno 2013,hig,med,hig,hig,hig,hig,hig,hig,High,12,10,Low,3,2,2,3,1,3,3,6,23
14439,#14439,BM,Bruno 2014,hig,med,hig,hig,hig,med,hig,med,High,11,8,Low,3,2,2,3,1,2,3,4,20
14417,#14417,BM,Burgess 2010,hig,med,hig,hig,hig,med,hig,hig,High,10,10,Low,3,2,2,3,1,2,3,6,22
14407,#14407,BM,Busch 2006,med,med,hig,low,hig,hig,low,low,Low,3,3,High,2,2,2,0,3,3,1,0,13
14105,#14105,BM,Cardona 2019,med,med,hig,low,hig,med,hig,hig,Med,10,10,Med.,2,2,2,0,1,2,3,6,18
13906,#13906,BM,Cardoso 2003,low,med,hig,hig,hig,hig,med,med,Med,9,6,Med.,1,2,2,3,1,3,3,2,17
14104,#14104,BM,Cardoso 2013,low,med,hig,hig,hig,hig,hig,hig,High,14,13,Low,1,2,2,3,1,3,4,6,22
13908,#13908,BM,Cardoso 2016,low,med,hig,hig,hig,hig,hig,hig,High,16,15,Low,1,2,2,3,1,3,4,6,22
13905,#13905,BM,Cardoso 2018,low,med,hig,hig,hig,hig,hig,hig,High,17,15,Low,1,2,2,3,1,3,4,6,22
13903,#13903,BM,Cardoso 2019,low,med,hig,hig,hig,hig,hig,hig,High,17,16,Low,1,2,2,3,1,3,4,6,22
13904,#13904,BM,Cardoso 2020,low,med,hig,hig,hig,med,hig,hig,High,17,16,Low,1,2,2,3,1,2,4,6,21
13899,#13899,BM,Carlsson 2016,hig,med,hig,hig,hig,med,med,med,Med,7,6,Med.,3,2,2,3,1,2,2,2,17
13900,#13900,BM,Carlsson 2020,hig,med,hig,hig,hig,med,med,med,High,9,8,Low,3,2,2,3,1,2,3,4,20
13861,#13861,BM,Cavalot 2006,hig,med,hig,hig,hig,hig,hig,hig,High,14,9,Low,3,2,2,3,1,3,4,4,22
13862,#13862,BM,Cavalot 2011,hig,med,hig,hig,hig,med,hig,hig,High,13,12,Low,3,2,2,3,1,2,4,6,23
13850,#13850,BM,Celis-Morales 2017,hig,med,hig,med,hig,hig,hig,med,High,12,8,Low,3,2,2,2,1,3,3,4,20
13846,#13846,BM,Ceriello 2020,low,med,hig,hig,hig,low,med,med,Low,9,8,High,0,2,2,3,1,0,3,4,15
13839,#13839,BM,Cha 2016,med,med,hig,hig,hig,med,med,med,Med,7,7,Med.,2,2,2,3,1,2,2,4,18
13840,#13840,BM,Cha 2018,med,med,hig,hig,hig,med,low,med,Low,5,5,High,2,2,2,3,1,1,1,2,14
13838,#13838,BM,Chacko 2008,med,med,hig,hig,hig,low,hig,med,Med,10,8,Med.,2,2,2,3,1,0,3,4,17
13827,#13827,BM,Chan 2014,low,med,hig,hig,hig,hig,hig,hig,High,14,12,Low,1,2,2,3,1,3,4,6,22
13816,#13816,BM,Chang 2016,hig,med,hig,hig,hig,hig,med,med,High,8,7,Low,3,2,2,3,1,3,2,4,20
3430,#3430,BM,Chang 2018,low,med,med,hig,hig,hig,med,med,Med,7,7,Med.,1,2,1,3,3,3,2,4,19
13815,#13815,BM,Chang 2019,med,med,hig,med,hig,hig,med,med,Low,6,6,High,2,2,2,2,1,3,2,2,16
13806,#13806,BM,Charlton-Menys 2009,hig,med,hig,hig,hig,hig,low,low,Low,2,1,High,3,2,2,3,1,3,1,0,15
13784,#13784,BM,Chen 2007,low,med,hig,hig,hig,med,med,med,Low,6,5,High,1,2,2,3,1,2,2,2,15
13771,#13771,BM,Chen 2020,med,med,hig,hig,hig,med,med,med,Low,6,5,High,2,2,2,3,1,2,2,2,16
3395,#3395,BM,Cheng 2020,hig,med,hig,hig,hig,hig,hig,hig,High,11,10,Low,3,2,2,3,1,3,3,6,23
14959,#14959,BM,Christensen 2000,med,low,hig,hig,hig,med,med,med,Low,8,7,High,2,0,2,3,1,2,2,4,16
14958,#14958,BM,Christiansen 2002,low,med,hig,hig,hig,med,low,low,Low,4,3,High,1,2,2,3,1,2,1,0,12
14957,#14957,BM,Christiansen 2005,low,med,hig,hig,hig,med,low,low,Low,4,3,High,1,2,2,3,1,2,1,0,12
3361,#3361,BM,Chyun 2015,hig,med,hig,hig,hig,hig,med,med,Med,6,4,Med.,3,2,2,3,1,3,2,2,18
14935,#14935,BM,Cioffi 2014,hig,med,hig,hig,hig,hig,med,med,Med,6,4,Med.,3,2,2,3,1,3,2,2,18
14930,#14930,BM,Clarke 2009,med,med,hig,hig,hig,hig,hig,hig,High,11,9,Low,2,2,2,3,3,3,3,4,22
14915,#14915,BM,Cockcroft 2005,hig,med,hig,med,hig,low,low,med,Low,4,4,High,3,2,2,2,1,0,1,2,13
14895,#14895,BM,Colombo 2018,med,med,hig,hig,hig,hig,hig,hig,High,10,9,Low,2,2,2,3,1,3,3,4,20
14869,#14869,BM,Cortigiani 2014,hig,med,hig,hig,hig,low,low,low,Low,1,1,High,3,2,2,3,3,0,1,0,14
14865,#14865,BM,Cosson 2011,med,med,hig,med,hig,med,low,low,Low,4,3,High,2,2,2,2,1,2,1,0,12
14857,#14857,BM,Cournot 2018,hig,med,hig,hig,hig,hig,hig,hig,High,13,11,Low,3,2,2,3,1,3,4,6,24
14852,#14852,BM,Cox 2013,low,med,hig,hig,hig,low,med,med,Low,9,7,High,1,2,2,3,1,0,3,4,16
15068,#15068,BM,Cui 2020,low,med,hig,hig,hig,hig,hig,hig,High,15,10,Low,1,2,2,3,1,3,4,6,22
14386,#14386,BM,Daka 2015,hig,med,hig,med,hig,hig,med,med,Med,6,4,Med.,3,2,2,2,1,3,2,2,17
14343,#14343,BM,Dayan 2012,med,med,hig,hig,hig,med,med,low,Low,7,3,High,2,2,2,3,1,2,2,0,14
13720,#13720,BM,DeLorenzo 2002,med,med,hig,hig,hig,med,low,low,Low,5,3,High,2,2,2,3,1,2,1,0,13
13357,#13357,BM,Djaileb 2021,hig,med,hig,hig,hig,hig,low,low,Low,5,3,High,3,2,2,3,1,3,1,0,15
13311,#13311,BM,Duan 2014,hig,med,hig,hig,hig,hig,hig,hig,High,13,13,Low,3,2,2,3,1,3,4,6,24
13263,#13263,BM,Eguchi 2007,med,med,low,med,hig,med,med,med,Low,6,5,High,2,2,0,2,1,2,2,2,13
13262,#13262,BM,Eguchi 2009,hig,med,hig,hig,hig,hig,low,low,Low,3,3,High,3,2,2,3,1,3,1,0,15
13260,#13260,BM,Eguchi 2010,hig,med,hig,med,hig,hig,low,med,Low,5,5,High,3,2,2,2,1,3,1,2,16
14097,#14097,BM,Eliasson 2011,hig,med,hig,hig,hig,hig,hig,hig,High,10,10,Low,3,2,2,3,1,3,3,6,23
14093,#14093,BM,Elkeles 2008a,hig,med,hig,hig,hig,hig,hig,hig,High,34,17,Low,3,2,2,3,1,3,4,6,24
14046,#14046,BM,Everett 2015,med,med,hig,hig,hig,med,low,low,Low,4,1,High,2,2,2,3,1,2,1,0,13
14035,#14035,BM,Fadini 2017,med,med,hig,hig,hig,hig,hig,hig,High,18,15,Low,2,2,2,3,1,3,4,6,23
14029,#14029,BM,Faghihi-Kashani 2016,med,med,hig,hig,hig,med,med,med,Med,9,8,Med.,2,2,2,3,1,2,3,4,19
14027,#14027,BM,Faglia 2002,hig,med,hig,hig,hig,hig,low,med,Med,4,4,Med.,3,2,2,3,1,3,1,2,17
13167,#13167,BM,Filippella 2007,low,med,hig,hig,hig,low,med,med,Low,7,6,High,1,2,2,3,3,0,2,2,15
13121,#13121,BM,Fragoso 2015,med,med,hig,hig,hig,low,med,med,Low,9,5,High,2,2,2,3,1,0,3,2,15
13097,#13097,BM,Friedman 2005,low,med,hig,hig,hig,med,hig,hig,High,10,10,Low,1,2,2,3,1,2,3,6,20
13074,#13074,BM,Fukushima 2004,hig,med,hig,hig,hig,hig,low,low,Med,3,2,Med.,3,2,2,3,3,3,1,0,17
13072,#13072,BM,Fuller 2001,hig,med,hig,hig,hig,med,med,med,Med,8,7,Med.,3,2,2,3,1,2,2,4,19
13012,#13012,BM,Gasior 2008,med,med,hig,hig,hig,hig,hig,hig,High,13,9,Low,2,2,2,3,3,3,4,4,23
13000,#13000,BM,Gazzaruso 2003,low,med,hig,hig,hig,med,hig,hig,High,15,12,Low,1,2,2,3,3,2,4,6,23
12997,#12997,BM,Gazzaruso 2008,low,med,hig,hig,hig,med,hig,hig,High,14,12,Low,1,2,2,3,3,2,4,6,23
13003,#13003,BM,Gazzaruso 2013,med,med,hig,hig,hig,med,hig,hig,High,16,14,Low,2,2,2,3,1,2,4,6,22
13680,#13680,BM,Georgoulias 2009,low,med,hig,hig,hig,med,low,low,Low,4,1,High,1,2,2,3,1,2,1,0,12
13647,#13647,BM,Giorda 2008,hig,med,hig,hig,hig,low,med,hig,Med,9,9,Med.,3,2,2,3,1,0,3,4,18
