V1,V2,n
ACE inhibitors,ARBs,2
ACE inhibitors,RCT,1
ACE inhibitors,acute coronary syndrome,1
ACE inhibitors,andor nitroglycerin,1
ACE inhibitors,antialdosterone,1
ACE inhibitors,antiplatelet therapy,1
ACE inhibitors,blockers,1
ACE inhibitors,bnp,1
ACE inhibitors,diuretic therapy,1
ACE inhibitors,egfr,1
ACE inhibitors,hypertension,1
ACE inhibitors,insulin (measurment),1
ACE inhibitors,insulin treatment,1
ACE inhibitors,monocyte chemoattractant protin1 m,1
ACE inhibitors,nitrates,1
ACE inhibitors,pioglitazone treatment,1
ACE inhibitors,statins,1
ACE inhibitors,urinary acr,1
ACEI/ARB,antidiabetic medication,1
ACEI/ARB,insulin treatment,2
ACEI/ARB,lipidlowering therapy,1
ACEI/ARB,uoer,1
ARBs,acute coronary syndrome,1
ARBs,age,1
ARBs,andor nitroglycerin,1
ARBs,antialdosterone,1
ARBs,antidepressants,1
ARBs,antihypertensive use,2
ARBs,antiplatelet therapy,1
ARBs,beta-blocker,2
ARBs,blockers,2
ARBs,bnp,1
ARBs,calcium channel blockers,2
ARBs,diuretic therapy,1
ARBs,fibrates,1
ARBs,hyperlipidemia,1
ARBs,hypertension,1
ARBs,insulin treatment,1
ARBs,monocyte chemoattractant protin1 m,1
ARBs,neuropathy,1
ARBs,nitrates,1
ARBs,peripheral artery disease,1
ARBs,race/ethnicity,1
ARBs,secretagogues,1
ARBs,socioeconomic variables,1
ARBs,statins,1
ApoAI,apoAI/apoB ratio,1
ApoAI,apoB,1
ApoAI,c-reactive protein,1
ApoAI,coronary artery disease,1
ApoAI,fibrinogen,2
ApoAI,homair,1
ApoAI,homocysteine,1
ApoAI,idf metabolic syndrome,1
ApoAI,insulin (measurment),1
ApoAI,peripheral arterial occlusive disease,1
ApoAI,stroke,1
CCr,albumin excretion rate,1
CCr,cholesterol,2
CCr,coronary heart disease,1
CCr,diastolic blood pressure,1
CCr,hba1c,1
CCr,smoking,1
CCr,systolic blood pressure,1
Elixhauser comorbidies,blood pressure,1
Elixhauser comorbidies,bmi,1
Elixhauser comorbidies,cholesterol,1
Elixhauser comorbidies,creatinine,1
Elixhauser comorbidies,microalbuminuria,1
Elixhauser comorbidies,provider quality controls,1
Elixhauser comorbidies,sociodemographics,1
Elixhauser comorbidies,sulfonylurea,1
Elixhauser comorbidies,year fixed effects,1
Elixhauser comorbidies,young severity index,1
Lp(a),apo(a) phenotypes,1
Lp(a),cholesterol,3
Lp(a),hba1c,1
Lp(a),multivessel coronary disease,1
Lp(a),stent,1
Lp(a),triglycerides,1
RCT,ACE inhibitors,1
RCT,acr,1
RCT,age,4
RCT,albumin to creatinine ratio,2
RCT,alcohol use,2
RCT,alternative healthy eating index ahei diet quality score quintiles,1
RCT,angina,1
RCT,antihypertensive use,1
RCT,atrial fibrillation,2
RCT,blood glucose,2
RCT,bmi,5
RCT,bnp,1
RCT,c-reactive protein,2
RCT,cardiovascular disease,5
RCT,cholesterol,13
RCT,coronary artery disease,1
RCT,creatinine,1
RCT,diabetes duration,6
RCT,diabetic neuropathy,1
RCT,diastolic blood pressure,1
RCT,egfr,6
RCT,ejection fraction,1
RCT,fasting status at blood draw,1
RCT,gender,4
RCT,hba1c,7
RCT,heart failure,1
RCT,heart rate,2
RCT,hormone therapy,1
RCT,hyperlipidemia,1
RCT,hypertension,5
RCT,left ventricular ejection fraction,1
RCT,macroalbuminuria,1
RCT,macrovascular complications,1
RCT,menopausal status pre post uncertain missing,1
RCT,microvascular disease,1
RCT,myocardial infarction,2
RCT,nterminal probrain natriuretic peptide,1
RCT,pacemaker implantation,1
RCT,physical activity,1
RCT,prior event,1
RCT,pro btype natriuretic peptide quartiles,1
RCT,race/ethnicity,1
RCT,retinopathy,1
RCT,smoking,8
RCT,statins,2
RCT,systolic blood pressure,7
RCT,triglycerides,3
RCT,troponin,2
RCT,urinary acr,1
RCT,white blood cell count,2
acr,blood glucose,1
acr,cholesterol,1
acr,egfr,2
acr,hba1c,1
acr,triglycerides,1
acute coronary syndrome,ACE inhibitors,1
acute coronary syndrome,beta-blocker,1
acute coronary syndrome,blood glucose,1
acute coronary syndrome,bnp,1
acute coronary syndrome,c-reactive protein,1
acute coronary syndrome,complex lesions,1
acute coronary syndrome,diuretic therapy,2
acute coronary syndrome,egfr,1
acute coronary syndrome,insulin (measurment),1
acute coronary syndrome,insulin treatment,2
acute coronary syndrome,left ventricular ejection fraction,1
acute coronary syndrome,metformin,1
acute coronary syndrome,monocyte chemoattractant protin1 m,1
acute coronary syndrome,multivessel coronary disease,1
acute coronary syndrome,myocardial infarction,1
acute coronary syndrome,peripheral arterial occlusive disease,1
acute coronary syndrome,pioglitazone treatment,1
acute coronary syndrome,prior coronary artery bypass,1
acute coronary syndrome,statins,1
acute coronary syndrome,stroke,1
acute coronary syndrome,sulfonylurea,1
acute kidney injury,albumin,1
acute kidney injury,egfr,1
acute kidney injury,myocardial infarction,1
adherence to medication,dcsi,1
adherence to medication,hyperlipidemia,1
adiponectin,cholesterol,1
adiponectin,creatinine,1
adiponectin,egfr,1
adiponectin,hemoglobin,1
adiponectin,interleukin 6,1
adiponectin,parathyroid harmone (PTH),1
adiponectin,phosphate,1
adjusted for baseline morbidity,baseline medications,1
adjusted for baseline morbidity,baseline related risk factor level,1
adjusted for baseline morbidity,comorbidity,1
adjusted for baseline morbidity,diabetes duration,1
age,ACE inhibitors,6
age,ACEI/ARB,5
age,ARBs,4
age,ApoAI,2
age,CCr,1
age,RCT,16
age,Serum 25-hydroxyvitamin D,1
age,acr,2
age,acute coronary syndrome,3
age,adherence to medication,1
age,adiponectin,1
age,albumin,31
age,albumin excretion rate,8
age,albumin to creatinine ratio,12
age,alcohol use,24
age,alphaglucosidase inhibitor,1
age,alternative healthy eating index ahei diet quality score quintiles,1
age,andor nitroglycerin,1
age,angina,5
age,ankle-brachial index (ABI),4
age,antiaggregating agents,1
age,antialdosterone,1
age,anticoagulants,1
age,antidepressants,1
age,antidiabetic medication,3
age,antihyperlipidemic drugs,2
age,antihypertensive use,28
age,antiplatelet therapy,13
age,apelin36 levels,1
age,apoAI/apoB ratio,2
age,apoB,2
age,arteriovenous fistula,1
age,aspirin therapy,17
age,atrial fibrillation,10
age,autonomic dysfunction,2
age,bapwv,1
age,baseline claudication,1
age,beta-blocker,4
age,biomarkers (general),1
age,blockers,2
age,blood glucose,27
age,blood pressure,22
age,bmi,146
age,bnp,13
age,c-reactive protein,21
age,calcium channel blockers,2
age,cancer,1
age,cardiac autonomic neuropathy (CAN),2
age,cardiovascular disease,50
age,cardiovascular risk factors,6
age,carotid artery imt,1
age,carotid intima media thickness,1
age,carotid plaque,1
age,cerebrovascular disease,6
age,change of esrage endogenous secretory receptor of advanced glycated endproducts,1
age,charlson index,2
age,choleseterol,1
age,cholesterol,275
age,chronic kidney disease,8
age,chronic obstructive pulmonary disease,1
age,chronic renal failure,1
age,ci,1
age,cimt,3
age,clinic,1
age,clinic gamma frailty,1
age,clopidigrel,1
age,clopidogrel,1
age,clustering by clinic,1
age,combined alox12 genotypes,1
age,complete revascularization,1
age,complex lesions,1
age,coronary artery calcium score,4
age,coronary artery disease,18
age,coronary heart disease,12
age,creatinine,51
age,dcb use,1
age,dcsi,1
age,depression,1
age,diabetes,13
age,diabetes duration,134
age,diabetes treatment,23
age,diabetic neuropathy,2
age,dialysis,5
age,diastolic blood pressure,38
age,dipeptidyl peptidase 4 inhibitor at discharge,1
age,dipyridamole stress test,1
age,disease duration,1
age,distal polyneuropathy,1
age,diuretic therapy,3
age,dpucmgp,1
age,duration,2
age,ecg abnormalities,22
age,echolucent plaque,1
age,egfr,64
age,ejection fraction,2
age,ejection fraction 40,1
age,endothelial dysfunction,1
age,fasting cpeptide,1
age,fasting plasma glucose,5
age,fasting status at blood draw,1
age,fasting status yes or no,1
age,fibrates,2
age,fibrinogen,9
age,final timi flow,1
age,folate,1
age,fpi,1
age,frailty effect for cohort,1
age,gamma frailty,1
age,gender,212
age,gliclazide,1
age,glycated hemoglobin,3
age,glycemic control,9
age,hab1c,1
age,haemoglobin,1
age,hba1c,152
age,heart failure,17
age,heart rate,11
age,heart valve calcium,1
age,height,3
age,hemoglobin,2
age,high density lipoprotein level,1
age,highdensity lipoprotein,3
age,history of copd,1
age,history of coronary disease,3
age,homair,5
age,homocysteine,2
age,homocysteine at baseline,1
age,hormone therapy,1
age,hyperlipidemia,23
age,hypertension,91
age,hypoglycaemic treatment,1
age,idf metabolic syndrome,1
age,indigenous australian,1
age,inflammatory markers,1
age,insulin (measurment),6
age,insulin treatment,27
age,intensive treatment,1
age,interleukin 6,2
age,intervention arm no interaction model,1
age,ischemia,2
age,ischemic heart disease,5
age,kidney function,2
age,left atrial diameter,1
age,left bundle branch block,1
age,left ventricular ejection fraction,11
age,left ventricular hypertrophy,2
age,"leisure time physical activity",1
age,lipid profile,4
age,lipidlowering therapy,18
age,living alone,1
age,lm treatment,1
age,log101  acr,1
age,logaer,1
age,lowdensity lipoprotein,2
age,macroalbuminuria,4
age,macrovascular complications,13
age,marital status,2
age,mca stenosis,1
age,medication differences,1
age,medications,1
age,menopausal status pre post uncertain missing,1
age,metformin,5
age,microalbuminuria,15
age,microvascular disease,11
age,mild plaque calcifi cation,1
age,monocyte chemoattractant protin1 m,1
age,multivessel coronary disease,2
age,myocardial infarction,25
age,nephropathy,5
age,neuropathy,4
age,nitrates,1
age,nterminal probrain natriuretic peptide,2
age,nzdep quintile,1
age,other complications,1
age,other conventional risk factors,1
age,other lifestyle risk factors,1
age,pIMT,1
age,pacemaker implantation,1
age,parathyroid harmone (PTH),2
age,percent low density plaque,1
age,percutaneous coronary intervention,4
age,peripheral arterial occlusive disease,2
age,peripheral artery disease,13
age,peripheral neuropathy,1
age,peripheral vascular disease,3
age,peripherovascular morbidity,1
age,phosphate,6
age,physical activity,16
age,physical inactivity,5
age,pioglitazone treatment,1
age,plaque thickness,1
